riska;m;t1;t2;t3
1;0.267;4.41;4.72;4.8
;0.487;3.77;3.58;3.82
;0.707;3;2.97;3.12
;0.927;2.35;2.42;2.37
2;0.267;6.06;5.99;6.36
;0.487;4.61;4.37;4.77
;0.707;3.7;3.54;3.49
;0.927;3.32;3.34;3.27
3;0.267;7.11;7.16;6.84
;0.487;4.87;4.71;4.6
;0.707;4.19;3.87;4.2
;0.927;3.35;3.3;3.37
4;0.267;7.4;7.41;7.58
;0.487;5.39;5.51;5.42
;0.707;4.56;4.46;4.72
;0.927;4.07;4.37;4.12
5;0.267;8.9;8.87;8.52
;0.487;6.4;6.51;6.6
;0.707;5.37;5.11;5.02
;0.927;4.62;4.15;4.53
6;0.267;8.85;8.91;8.89
;0.487;6.98;7.18;7.07
;0.707;5.94;5.78;5.66
;0.927;4.91;5.11;4.95
